Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0910S;SPAN-06-02;Spanish Conversation;;Patricia Ferrer  Maria Maillo;L/D;MWF 11:00AM-11:50AM;MERR 314;5;5
0910S;SPAN-06-02;Spanish Conversation;;Patricia Ferrer  Maria Maillo;L/D;MWF 11:00AM-11:50AM;MERR 314;5;5
0910S;SPAN-07-01;Adv Spanish Composition;;Prospero Garcia  Maria Maillo;L/D;MWF 09:00AM-09:50AM;BARR 105;6;6
0910S;SPAN-07-01;Adv Spanish Composition;;Prospero Garcia  Maria Maillo;L/D;MWF 09:00AM-09:50AM;BARR 105;6;6
0910S;SPAN-09-01;Span for Heritage Speakers;;Glenda Nieto Cuebas  Maria Maillo;L/D;MWF 09:00AM-09:50AM;BARR 102;9;9
0910S;SPAN-09-01;Span for Heritage Speakers;;Glenda Nieto Cuebas  Maria Maillo;L/D;MWF 09:00AM-09:50AM;BARR 102;9;9
0910S;SPAN-11-01;Readings in Hispanic Lit;;Sara Brenneis;L/D;MW 02:00PM-03:20PM;BARR 105;4;4
0910S;SPAN-12-01;Hispanic World;;Maria Maillo;L/D;MW 12:30PM-01:50PM;CHAP 205;15;15
0910S;SPAN-16-01;Intro Spanish Literature;;James Maraniss;L/D;MWF 10:00AM-10:50AM;CHAP 203;20;20
0910S;SPAN-33-01;Spanish Film;;James Maraniss;L/D;TTH 11:30AM-12:50PM;FAYE 113;42;42
0910S;SPAN-89-01;Postwar Spain & the Novel;;Sara Brenneis;L/D;MWF 11:00AM-11:50AM;CHAP 210;10;10
0910S;SPAN-92-01;Latin Am Short Story;;Ilan Stavchansky;L/D;TTH 10:00AM-11:20AM;ESNH 107;25;25
0910S;THDA-13-01;Action & Character;;Peter Lobdell;L/D;MWF 02:00PM-04:00PM;WEBS 122;14;14
0910S;THDA-20-01;Contemporary Performance;;Michael Birtwistle;L/D;TTH 10:00AM-11:20AM;WEBS 217;9;9
0910S;THDA-30H-01;Cntmp Dance/Ballet II/III;;Thomas Vacanti;L/D;TTH 11:30AM-12:50PM;WEBS 117;12;12
0910S;THDA-30H-02;Contmp Dance:Mod IV/V;;Cynthia McLaughlin;L/D;MW 04:00PM-05:30PM;WEBS 117;13;13
0910S;THDA-31-01;Playwriting I;;Constance Congdon;L/D;TTH 11:30AM-12:50PM;WEBS 19;13;13
0910S;THDA-31-02;Playwriting I;;Constance Congdon;L/D;TTH 02:00PM-03:20PM;WEBS 19;7;7
0910S;THDA-35-01;Scripts and Scores;;Wendy Woodson;L/D;TTH 02:00PM-04:00PM;WEBS 117;11;11
0910S;THDA-37-01;The Actor's Instrument;;Peter Lobdell;L/D;TTH 01:00PM-04:00PM;WEBS 122;9;9
0910S;THDA-46-01;Sound Design I;;Robert Kaplowitz;L/D;M 02:00PM-05:00PM;SMUD 002;8;8
0910S;THDA-48-01;Directing Comedy;;Michael Birtwistle;L/D;MW 02:00PM-04:00PM;WEBS 19;8;8
0910S;THDA-61-01;Playwriting Studio;;Constance Congdon;L/D;F 02:00PM-04:00PM;WEBS 19;10;10
0910S;THDA-63-01;Scene Design II;;Katherine O'Neill;L/D;;WEBS 8;1;1
0910S;THDA-64-01;Design Studio;;Katherine O'Neill;L/D;;WEBS 8;3;3
0910S;THDA-96-01;Prod Semnar: Movng Image;ENGL-89-01,THDA-96-01;Baba Hillman  Wendy Woodson;L/D;W 01:00PM-04:00PM;WEBS 117;7;12
0910S;THDA-96-01;Prod Semnar: Movng Image;ENGL-89-01,THDA-96-01;Baba Hillman  Wendy Woodson;L/D;W 01:00PM-04:00PM;WEBS 117;7;12
0910S;WAGS-04-01;Political Econ of Gender;;Manuela Picq;L/D;W 02:00PM-04:30PM;CHAP 204;11;11
0910S;WAGS-07-01;Gender and Environment;;Manuela Picq;L/D;TTH 11:30AM-12:50PM;CLAR 100;10;10
0910S;WAGS-24-01;Gender Labor;;Michele Barale  Rose Olver;L/D;MW 12:30PM-01:50PM;MERR 315;28;28
0910S;WAGS-24-01;Gender Labor;;Michele Barale  Rose Olver;L/D;MW 12:30PM-01:50PM;MERR 315;28;28
0910S;WAGS-26-01;Women & the Law;;Margaret Hunt;L/D;TTH 10:00AM-11:20AM;CONV 209;17;17
0910S;WAGS-31-01;Queer Canons;;Frederick Griffiths;L/D;TTH 10:00AM-11:20AM;CHAP 204;23;23
0910S;WAGS-32-01;Human Rights Activism;WAGS-32-01,POSC-24-01;Amrita Basu  Martha Saxton;L/D;TTH 02:00PM-03:20PM;FAYE 115;14;46
0910S;WAGS-32-01;Human Rights Activism;WAGS-32-01,POSC-24-01;Amrita Basu  Martha Saxton;L/D;TTH 02:00PM-03:20PM;FAYE 115;14;46
0910S;WAGS-55-01;Medieval Love/Sex/Marriage;ENGL-32-01,WAGS-55-01;Amanda Walling;L/D;MWF 10:00AM-10:50AM;MERR 315;2;16
0910S;WAGS-61-01;Women & Polit in Africa;POSC-29-01,BLST-25-01,WAGS-61-01;Catharine Newbury;L/D;MW 02:00PM-03:20PM;CHAP 201;7;26
0910S;WAGS-62-01;Women in Middle East;HIST-62-01,WAGS-62-01,ASLC-63-01;Monica Ringer;L/D;TTH 02:00PM-03:20PM;CONV 209;4;16
0910S;WAGS-85-01;States of Poverty;POSC-85-01,WAGS-85-01;Kristin Bumiller;L/D;T 02:00PM-04:30PM;FAYE 217A;5;15
1011F;AMST-11-01;Changing America;;Carleen Basler;L/D;TTH 10:00AM-11:20AM;CONV 209;26;26
1011F;AMST-11-02;Changing America;;Sujani Reddy;L/D;TTH 10:00AM-11:20AM;CONV 304;20;20
1011F;AMST-38-01;Higher Ed Debates;POSC-38-01,AMST-38-01;Anthony Marx;L/D;W 07:00PM-09:30PM;PRDT LR;3;12
1011F;ANTH-10-01;Human Diversity;ANTH-10-01,SOCI-10-01;Carleen Basler  Christopher Dole;L/D;MW 10:00AM-11:20AM;FAYE 115;35;68
1011F;ANTH-10-01;Human Diversity;ANTH-10-01,SOCI-10-01;Carleen Basler  Christopher Dole;L/D;MW 10:00AM-11:20AM;FAYE 115;35;68
1011F;ANTH-13-01;Evolution & Culture;;Miriam Goheen;L/D;MW 12:30PM-01:50PM;MEAD 115;63;63
1011F;ANTH-21-01;Indian Civilization;ANTH-21-01,ASLC-22-01;Lawrence Babb;L/D;MWF 10:00AM-10:50AM;FAYE 117;17;28
1011F;ANTH-23-01;Hist Anthropolog Thought;;Lawrence Babb;L/D;TTH 10:00AM-11:20AM;WEBS 220;22;22
1011F;ANTH-36-01;Psychological Anthro;;Douglas Raybeck;L/D;TTH 02:00PM-03:20PM;CONV 208;13;13
1011F;ANTH-45-01;Medical Anthropology;;Christopher Dole;L/D;MW 02:00PM-03:20PM;CHAP 201;29;29
1011F;ARAB-01-01;First-Year Arabic I;;El Yasmine Hasnaoui;L/D;MTWTHF 09:00AM-09:50AM;CONV 209;18;18
1011F;ARAB-03-01;Second-Year Arabic I;;El Yasmine Hasnaoui;L/D;MTWTHF 11:00AM-11:50AM;CONV 302;18;18
1011F;ARHA-02-01;The Practice of Art;;David Gloman;L/D;MW 09:00AM-11:00AM;FAYE 101;22;22
1011F;ARHA-04-01;Basic Drawing;;Douglas Culhane;L/D;TTH 01:00PM-04:00PM;FAYE 101;19;19
1011F;ARHA-13-01;Printmaking I;;Betsey Garand;L/D;TTH 01:00PM-04:00PM;FAYE 205;13;13
1011F;ARHA-14-01;Sculpture I;;Carol Keller;L/D;MW 01:00PM-04:00PM;FAYE 1;6;6
1011F;ARHA-15-01;Painting I;;David Gloman;L/D;MW 01:00PM-04:00PM;FAYE 201;14;14
1011F;ARHA-18-01;Photography I;;Justin Kimball;L/D;TTH 01:00PM-04:00PM;FAYE 17B;16;16
1011F;ARHA-25-01;Color Photography;;Justin Kimball;L/D;MW 09:00AM-11:00AM;FAYE 17B;8;8
1011F;ARHA-29-01;Ideas Influences Vision;;Carol Keller  Betsey Garand;L/D;TTH 09:00AM-11:00AM;FAYE 101;10;10
1011F;ARHA-29-01;Ideas Influences Vision;;Carol Keller  Betsey Garand;L/D;TTH 09:00AM-11:00AM;FAYE 101;10;10
1011F;ARHA-47-01;Arts of China;ARHA-47-01,ASLC-43-01;Samuel Morse;L/D;MWF 10:00AM-10:50AM;FAYE 113;16;21
1011F;ARHA-50-01;Monastic Challenge;ARHA-50-01,EUST-74-01;Joel Upton;L/D;MW 12:30PM-01:50PM;FAYE 117;31;31
1011F;ARHA-85-01;Witch/Vampire/Monster;WAGS-10-01,ARHA-85-01,EUST-70-01;Natasha Staller;L/D;TTH 02:00PM-03:20PM;FAYE 113;23;33
1011F;ARHA-91-02;Collaborative Art;;Wendy Ewald;L/D;W 01:00PM-04:00PM;FAYE 217A;14;14
1011F;ARHA-91-03;Globaliztn/Contemp Art;;Lorne Falk;L/D;TH 07:00PM-10:00PM;FAYE 217A;20;20
1011F;ASLC-15-01;Buddhist Traditions;RELI-23-01,ASLC-15-01;Maria Heim;L/D;TTH 02:00PM-03:20PM;CHAP 101;8;23
1011F;ASLC-16-01;Yoga Traditions;RELI-29-01,ASLC-16-01;Steven Heim;L/D;W 02:00PM-04:30PM;MERR 403;4;21
1011F;ASLC-20-01;Reinventing Tokyo;;Trent Maxey  Samuel Morse;L/D;MW 12:30PM-01:50PM;FAYE 113;15;15
1011F;ASLC-20-01;Reinventing Tokyo;;Trent Maxey  Samuel Morse;L/D;MW 12:30PM-01:50PM;FAYE 113;15;15
1011F;ASLC-21-01;Trad Japan Literature;;Timothy Van Compernolle;L/D;TTH 02:00PM-03:20PM;WEBS 219;4;4
1011F;ASLC-22-01;Indian Civilization;ANTH-21-01,ASLC-22-01;Lawrence Babb;L/D;MWF 10:00AM-10:50AM;FAYE 117;11;28
1011F;ASLC-24-01;Chinese Civilization;HIST-15-01,ASLC-24-01;Jerry Dennerline;L/D;TTH 02:00PM-03:20PM;CHAP 203;7;23
1011F;ASLC-43-01;Arts of China;ARHA-47-01,ASLC-43-01;Samuel Morse;L/D;MWF 10:00AM-10:50AM;FAYE 113;5;21
1011F;ASLC-49-01;China in the World;HIST-57-01,ASLC-49-01;Jerry Dennerline;L/D;TTH 10:00AM-11:20AM;CHAP 205;3;9
1011F;ASLC-51-01;Mother India;ASLC-51-01,WAGS-66-01,FAMS-30-01;Krupa Shandilya;L/D;TTH 10:00AM-11:20AM;CHAP 103;5;10
1011F;ASLC-62-01;Hist/Mem: Asia-Pacif War;HIST-90-01,ASLC-62-01;Trent Maxey;L/D;W 02:00PM-04:00PM;CHAP 204;1;9
1011F;ASTR-33-01;High Energy Astrophysics;;Fulvio Melia;L/D;MW 02:00PM-03:20PM;MERR 131;8;8
1011F;BIOL-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;2;8
1011F;BIOL-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;2;8
1011F;BIOL-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;2;8
1011F;BIOL-08-01;Cancer and AIDS;;Richard Goldsby;L/D;TTH 02:00PM-03:20PM;MERR 1;94;94
1011F;BIOL-19-02;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-02;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-03;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-03;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-04;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-04;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;24;24
1011F;BIOL-19-05;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;18;18
1011F;BIOL-19-05;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;18;18
1011F;BIOL-19-06;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;17;17
1011F;BIOL-19-06;Molecules, Genes & Cells;;Dominic Poccia  Amy Springer;LEC;MWF 09:00AM-09:50AM;MEAD 115;17;17
1011F;BIOL-23-01;Ecology;BIOL-23-01,ENST-21-01;Ethan Temeles;L/D;MWF 12:00PM-12:50PM;MERR 2;50;74
1011F;BIOL-25-03;Molecular Genetics;;David Ratner;LEC;MWF 09:00AM-09:50AM;MERR 3;18;18
1011F;BIOL-25-04;Molecular Genetics;;David Ratner;LEC;MWF 09:00AM-09:50AM;MERR 3;11;11
1011F;BIOL-27-01;Genome Biology;;Michael Hood;LEC;TTH 10:00AM-11:20AM;MERR 220;11;11
1011F;BIOL-31-01;Molecular Neurobiology;;Ethan Graf;LEC;MWF 10:00AM-10:50AM;CHAP 201;25;25
1011F;BIOL-37-01;Structural Biochemistry;;Patrick Williamson;LEC;TTH 08:30AM-09:50AM;WEBS 102;7;7
1011F;BIOL-39-01;Animal Behavior;;Ethan Clotfelter;LEC;MWF 09:00AM-09:50AM;MERR 403;19;19
1011F;BIOL-57-01;Sem Developmntl Genetics;;Caroline Goutte;L/D;F 02:00PM-05:00PM;MCLS 428;6;6
1011F;BLST-11-01;Intro to Black Studies;;Hilary Moss;L/D;W 02:00PM-04:30PM;WEBS 217;20;20
1011F;BLST-12-01;Debate in Black Studies;;Jose Castro Alves;L/D;TTH 10:00AM-11:20AM;COOP 101;21;21
1011F;BLST-12-02;Debate in Black Studies;;John Drabinski;L/D;MW 02:00PM-03:20PM;CONV 302;16;16
1011F;BLST-14-01;Jazz History to 1945;MUSI-24-01,BLST-14-01;Jason Robinson;L/D;TTH 10:00AM-11:20AM;ARMU 212;8;26
1011F;BLST-17-01;Passing in Lit and Film;ENGL-69-01,BLST-17-01,FAMS-57-01;Marisa Parham;L/D;TTH 08:30AM-09:50AM;FAYE 115;22;49
1011F;BLST-41-01;LA & Carib in Age of Rev;HIST-88-01,BLST-41-01;Jose Castro Alves;L/D;W 02:00PM-04:30PM;COOP 101;10;16
1011F;BLST-48-01;Africa Before Eur Conqst;HIST-63-01,BLST-48-01;Sean Redding;L/D;TTH 10:00AM-11:20AM;CHAP 203;16;35
1011F;BLST-55-01;Black Existentialism;;John Drabinski;L/D;MW 12:30PM-01:50PM;CHAP 203;22;22
1011F;CHEM-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;6;8
1011F;CHEM-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;6;8
1011F;CHEM-03-01;Chemical Biology;BIOL-03-01,CHEM-03-01;Caroline Goutte  Patricia O'Hara  James Hebda;LEC;MWF 09:00AM-09:50AM;MCLS 428;6;8
1011F;CHEM-11-01;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;19;24
1011F;CHEM-11-01;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;19;24
1011F;CHEM-11-02;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;19;20
1011F;CHEM-11-02;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;19;20
1011F;CHEM-11-03;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;16;20
1011F;CHEM-11-03;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;16;20
1011F;CHEM-11-04;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;16;19
1011F;CHEM-11-04;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;16;19
1011F;CHEM-11-05;Introductory Chemistry;CHEM-11-05,CHEM-11-56;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;15;15
1011F;CHEM-11-05;Introductory Chemistry;CHEM-11-05,CHEM-11-56;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;15;15
1011F;CHEM-11-16;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;5;24
1011F;CHEM-11-16;Introductory Chemistry;CHEM-11-01,CHEM-11-16;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;5;24
1011F;CHEM-11-26;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;1;20
1011F;CHEM-11-26;Introductory Chemistry;CHEM-11-02,CHEM-11-26;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;1;20
1011F;CHEM-11-36;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;4;20
1011F;CHEM-11-36;Introductory Chemistry;CHEM-11-03,CHEM-11-36;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;4;20
1011F;CHEM-11-46;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;3;19
1011F;CHEM-11-46;Introductory Chemistry;CHEM-11-04,CHEM-11-46;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;3;19
1011F;CHEM-11-56;Introductory Chemistry;CHEM-11-05,CHEM-11-56;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;0;15
1011F;CHEM-11-56;Introductory Chemistry;CHEM-11-05,CHEM-11-56;Sheila Jaswal  Karena McKinney;LEC;MWF 10:00AM-10:50AM;MERR 2;0;15
1011F;CHEM-12-03;Chemical Principles;;Gary Snyder;LEC;MWF 10:00AM-10:50AM;MERR 403;15;15
1011F;CHEM-12-04;Chemical Principles;;Gary Snyder;LEC;MWF 10:00AM-10:50AM;MERR 403;11;11
1011F;CHEM-15-01;Fundamtl Chem Principles;;Joseph Kushick;LEC;MWF 10:00AM-10:50AM;MERR 4;23;23
1011F;CHEM-15-04;Fundamtl Chem Principles;;Joseph Kushick;LEC;MWF 10:00AM-10:50AM;MERR 4;23;23
1011F;CHEM-21-01;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;21;21
1011F;CHEM-21-01;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;21;21
1011F;CHEM-21-02;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;23;23
1011F;CHEM-21-02;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;23;23
1011F;CHEM-21-03;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;23;23
1011F;CHEM-21-03;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;23;23
1011F;CHEM-21-04;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;18;18
1011F;CHEM-21-04;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;18;18
1011F;CHEM-21-05;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;19;19
1011F;CHEM-21-05;Organic Chemistry I;;Anthony Bishop  Cindy Kan;LEC;MWF 10:00AM-10:50AM;MERR 1;19;19
1011F;CHEM-35-01;Inorganic Chemistry;;Sandra Burkett;LEC;MWF 10:00AM-10:50AM;MERR 315;11;11
1011F;CHEM-35-02;Inorganic Chemistry;;Sandra Burkett;LEC;MWF 10:00AM-10:50AM;MERR 315;7;7
1011F;CHEM-44-03;Quantum Chem/Spectrscopy;;Mark Marshall;LEC;TTH 10:00AM-11:20AM;MERR 403;7;7
1011F;CHEM-44-04;Quantum Chem/Spectrscopy;;Mark Marshall;LEC;TTH 10:00AM-11:20AM;MERR 403;6;6
1011F;CHIN-01-01;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 09:00AM-09:50AM;WEBS 217;7;7
1011F;CHIN-01-02;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 09:00AM-09:50AM;WEBS 217;3;3
1011F;CHIN-01-03;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 09:00AM-09:50AM;WEBS 217;1;1
1011F;CHIN-01-04;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 09:00AM-09:50AM;WEBS 217;2;2
1011F;CHIN-01-05;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 10:00AM-10:50AM;WEBS 217;2;2
1011F;CHIN-01-06;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 10:00AM-10:50AM;WEBS 217;6;6
1011F;CHIN-01-07;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 10:00AM-10:50AM;WEBS 217;3;3
1011F;CHIN-01-08;First-Year Chinese I;;Xiaoping Teng;LEC;MWF 10:00AM-10:50AM;WEBS 217;4;4
1011F;CHIN-05-01;Second-Year Chinese I;;Weijia Li;LEC;TTH 10:00AM-10:50AM;WEBS 219;6;6
1011F;CHIN-05-02;Second-Year Chinese I;;Weijia Li;LEC;TTH 10:00AM-10:50AM;WEBS 219;4;4
1011F;CHIN-05-03;Second-Year Chinese I;;Weijia Li;LEC;TTH 10:00AM-10:50AM;WEBS 219;3;3
1011F;CHIN-05-04;Second-Year Chinese I;;Weijia Li;LEC;TTH 10:00AM-10:50AM;WEBS 219;2;2
1011F;CHIN-05-05;Second-Year Chinese I;;Weijia Li;LEC;TTH 11:30AM-12:20PM;WEBS 219;1;1
1011F;CHIN-05-06;Second-Year Chinese I;;Weijia Li;LEC;TTH 11:30AM-12:20PM;WEBS 219;8;8
1011F;CHIN-05-07;Second-Year Chinese I;;Weijia Li;LEC;TTH 11:30AM-12:20PM;WEBS 219;3;3
1011F;CHIN-05-08;Second-Year Chinese I;;Weijia Li;LEC;TTH 11:30AM-12:20PM;WEBS 219;3;3
1011F;CHIN-07-01;Third-Year Chinese I;;Tong Shen;LEC;MWF 02:00PM-02:50PM;SMUD 202;12;12
1011F;CHIN-09-01;Fourth-Year Chinese I;;Tong Shen;L/D;MWF 03:00PM-03:50PM;SMUD 202;8;8
1011F;CLAS-21-01;Greek Mythology/Religion;;Rebecca Sinos;L/D;TTH 02:00PM-03:20PM;FAYE 115;72;72
1011F;CLAS-24-01;Roman Civilization;;Christopher van den Berg;L/D;TTH 10:00AM-11:20AM;MERR 401;21;21
1011F;COSC-11-01;Intro Computer Science I;;Catherine McGeoch;L/D;MWF 01:00PM-01:50PM;SMUD 206;50;50
1011F;COSC-12-01;Intro Comp Science II;;Lyle McGeoch;L/D;MWF 01:00PM-01:50PM;SMUD 014;16;16
1011F;COSC-16-01;Computer Systems I;;Scott Kaplan;L/D;MWF 11:00AM-11:50AM;SMUD 207;26;26
1011F;COSC-28-01;Networks & Cryptography;;Scott Kaplan;L/D;MWF 02:00PM-02:50PM;SMUD 207;17;17
1011F;COSC-30-01;Data Struct & Algorithms II;;Catherine McGeoch;L/D;MWF 10:00AM-10:50AM;SMUD 207;12;12
1011F;COSC-38-01;Theoretical Foundations;;Lyle McGeoch;L/D;MWF 11:00AM-11:50AM;SMUD 202;11;11
1011F;ECON-11-01;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;33;37
1011F;ECON-11-01;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;33;37
1011F;ECON-11-02;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;27;27
1011F;ECON-11-02;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;27;27
1011F;ECON-11-03;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;33;36
1011F;ECON-11-03;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;33;36
1011F;ECON-11-04;Intro to Econ W/ Envir Appl;ENST-23-01,ECON-11-04,ECON-11-46;Katharine Sims  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;19;30
1011F;ECON-11-04;Intro to Econ W/ Envir Appl;ENST-23-01,ECON-11-04,ECON-11-46;Katharine Sims  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;19;30
1011F;ECON-11-05;An Intro to Economics;ECON-11-05,ECON-11-56;Frank Westhoff  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;27;29
1011F;ECON-11-05;An Intro to Economics;ECON-11-05,ECON-11-56;Frank Westhoff  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;27;29
1011F;ECON-11-16;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;4;37
1011F;ECON-11-16;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;4;37
1011F;ECON-11-26;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;0;27
1011F;ECON-11-26;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;0;27
1011F;ECON-11-36;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;3;36
1011F;ECON-11-36;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;3;36
1011F;ECON-11-46;Intro to Econ W/ Envir Appl;ENST-23-01,ECON-11-04,ECON-11-46;Katharine Sims  Christopher Kingston;LEC;T 01:00PM-01:50PM;MERR 1;1;30
