Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0809F;CHEM-15-04;Fundamtl Chem Principles;;Mark Marshall;LEC;MWF 09:00AM-09:50AM;MERR 4;13;13
0809F;CHEM-21-01;Organic Chemistry I;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;15;15
0809F;CHEM-21-02;Organic Chemistry I;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;14;14
0809F;CHEM-21-03;Organic Chemistry I;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;14;14
0809F;CHEM-21-04;Organic Chemistry I;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;15;15
0809F;CHEM-21-05;Organic Chemistry I;;David Hansen;LEC;MWF 12:00PM-12:50PM;MERR 1;18;18
0809F;CHEM-38-02;Atmospheric Chemistry;;Karena McKinney;LEC;MWF 11:00AM-11:50AM;MERR 315;7;7
0809F;CHEM-38-03;Atmospheric Chemistry;;Karena McKinney;LEC;MWF 11:00AM-11:50AM;MERR 315;8;8
0809F;CHEM-44-01;Quantum Chem/Spectrscopy;;Helen Leung;LEC;TTH 10:00AM-11:20AM;MERR 403;7;7
0809F;CHEM-44-04;Quantum Chem/Spectrscopy;;Helen Leung;LEC;TTH 10:00AM-11:20AM;MERR 403;9;9
0809F;CHIN-01-01;First-Year Chinese I;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;5;5
0809F;CHIN-01-02;First-Year Chinese I;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;3;3
0809F;CHIN-01-03;First-Year Chinese I;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;1;1
0809F;CHIN-01-04;First-Year Chinese I;;Tong Shen;LEC;MWF 09:00AM-09:50AM;MCLS 230;2;2
0809F;CHIN-01-05;First-Year Chinese I;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;3;3
0809F;CHIN-01-06;First-Year Chinese I;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;4;4
0809F;CHIN-01-07;First-Year Chinese I;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;3;3
0809F;CHIN-01-08;First-Year Chinese I;;Tong Shen;LEC;MWF 10:00AM-10:50AM;MCLS 230;5;5
0809F;CHIN-03-01;Heritage Chinese I;;Weijia Li;L/D;MTWTHF 01:00PM-01:50PM;WEBS 219;2;2
0809F;CHIN-05-01;Second-Year Chinese I;;Xiaoping Teng;LEC;MWF 11:00AM-11:50AM;WEBS 220;9;9
0809F;CHIN-05-02;Second-Year Chinese I;;Xiaoping Teng;LEC;MWF 11:00AM-11:50AM;WEBS 220;7;7
0809F;CHIN-07-01;Third-Year Chinese I;;Weijia Li;LEC;MWF 02:00PM-02:50PM;WEBS 217;15;15
0809F;CHIN-09-01;Fourth-Year Chinese I;;Xiaoping Teng;L/D;MW 12:30PM-01:50PM;WEBS 103;4;4
0809F;CLAS-27-01;Age of Nero;;Christopher Trinacty;L/D;TTH 10:00AM-11:20AM;MERR 401;13;13
0809F;COLQ-29-01;Engineering Life;;Gregory Dorr;L/D;MW 12:30PM-01:50PM;CHAP 119;18;18
0809F;COSC-05-01;Demystifying Internet;;Catherine McGeoch;L/D;MWF 02:00PM-02:50PM;SMUD 206;42;42
0809F;COSC-11-01;Intro Computer Science;;John Rager;L/D;MW 01:00PM-01:50PM;SMUD 206;39;39
0809F;COSC-12-01;Intro Computer Science II;;Lyle McGeoch;LEC;MF 01:00PM-01:50PM;SMUD 207;10;10
0809F;COSC-16-01;Computer Systems I;;Scott Kaplan;L/D;MWF 11:00AM-11:50AM;SMUD 207;18;18
0809F;COSC-23-01;Program Lang Paradigms;;John Rager;L/D;MWF 10:00AM-10:50AM;SMUD 203;14;14
0809F;COSC-31-01;Algorithms;;Catherine McGeoch;L/D;MWTHF 09:00AM-09:50AM;SMUD 202;9;9
0809F;COSC-40-01;Seminar in Computer Sci;;Lyle McGeoch;L/D;TTH 11:30AM-12:50PM;SMUD 207;8;8
0809F;ECON-11-01;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;20;22
0809F;ECON-11-01;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;20;22
0809F;ECON-11-02;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;21;24
0809F;ECON-11-02;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;21;24
0809F;ECON-11-03;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;19;19
0809F;ECON-11-03;An Intro to Economics;ECON-11-03,ECON-11-36;Jun Ishii  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;19;19
0809F;ECON-11-04;An Intro to Economics;ECON-11-04,ECON-11-46;Christopher Kingston  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;28;29
0809F;ECON-11-04;An Intro to Economics;ECON-11-04,ECON-11-46;Christopher Kingston  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;28;29
0809F;ECON-11-05;An Intro to Economics;ECON-11-05,ECON-11-56;Katharine Sims  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;16;18
0809F;ECON-11-05;An Intro to Economics;ECON-11-05,ECON-11-56;Katharine Sims  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;16;18
0809F;ECON-11-06;An Intro to Economics;ECON-11-06,ECON-11-66;Geoffrey Woglom  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;26;30
0809F;ECON-11-06;An Intro to Economics;ECON-11-06,ECON-11-66;Geoffrey Woglom  Steven Rivkin;LEC;T 01:00PM-01:50PM;MERR 1;26;30
0809F;ECON-11-16;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;22
0809F;ECON-11-16;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;22
0809F;ECON-11-16;An Intro to Economics;ECON-11-01,ECON-11-16;Sami Alpanda  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;2;22
0809F;ECON-11-26;An Intro to Economics;ECON-11-02,ECON-11-26;Adam Honig  Steven Rivkin  Geoffrey Woglom;LEC;T 01:00PM-01:50PM;MERR 1;3;24
