CHEM-12-26;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 3:00PM-3:50PM;MERR 131
CHEM-12-26;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;T 2:00PM-5:00PM;MERR 426
CHEM-12-36;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-36;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;L/D;F 1:00PM-:300PM;MERR 401
CHEM-12-36;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 2:00PM-2:50PM;MERR 131
CHEM-12-36;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;W 2:00PM-5:00PM;MERR 426
CHEM-12-46;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-46;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;L/D;F 1:00PM-:300PM;MERR 401
CHEM-12-46;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 2:00PM-2:50PM;MERR 220
CHEM-12-46;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;TH 2:00PM-5:00PM;MERR 426
CHEM-12-56;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LEC;MWF 11:00AM-11:50AM;MERR 2
CHEM-12-56;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;L/D;F 1:00PM-:300PM;MERR 401
CHEM-12-56;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;DIS;M 1:00PM-1:50PM;MERR 220
CHEM-12-56;CHEMISTRY;[l];[p];;[x];Chemical Principles;H Leung & P O'Hara;LAB;M 3:00PM-6:00PM;MERR 426
CHEM-22-01;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LEC;MWF 11:00AM-11:50AM;MERR 1
CHEM-22-01;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;DIS;M 1:00PM-1:50PM;MERR 2
CHEM-22-01;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LAB;W 7:00PM-10:30PM;MERR 421
CHEM-22-02;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LEC;MWF 11:00AM-11:50AM;MERR 1
CHEM-22-02;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;DIS;M 1:00PM-1:50PM;MERR 2
CHEM-22-02;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LAB;T 2:00PM-5:30PM;MERR 421
CHEM-22-03;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LEC;MWF 11:00AM-11:50AM;MERR 1
CHEM-22-03;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;DIS;M 2:00PM-2:50PM;MERR 2
CHEM-22-03;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LAB;W 2:00PM-5:30PM;MERR 421
CHEM-22-04;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LEC;MWF 11:00AM-11:50AM;MERR 1
CHEM-22-04;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;DIS;M 2:00PM-2:50PM;MERR 2
CHEM-22-04;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LAB;TH 2:00PM-5:30PM;MERR 421
CHEM-22-05;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LEC;MWF 11:00AM-11:50AM;MERR 1
CHEM-22-05;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;DIS;M 1:00PM-1:50PM;MERR 2
CHEM-22-05;CHEMISTRY;[l];;;[x];Organic Chemistry II;Gary Snyder & Wallace Fu;LAB;M 3:00PM-6:30PM;MERR 421
