BIOL-331F-01;Biochemistry Discuss;BCBP-331F-01,BIOL-331F-01,CHEM-331F-01;Anthony Bishop  Patrick Williamson;DIS;F 02:00PM-02:50PM;39
BIOL-331L-01;Biochemistry Lab;BIOL-331L-01,CHEM-331L-01,BCBP-331L-01;Anthony Bishop  Patrick Williamson;LAB;T 01:00PM-05:00PM;15
BIOL-331L-01;Biochemistry Lab;BIOL-331L-01,CHEM-331L-01,BCBP-331L-01;Anthony Bishop  Patrick Williamson;LAB;T 01:00PM-05:00PM;15
BIOL-331L-02;Biochemistry Lab;BIOL-331L-02,BCBP-331L-02,CHEM-331L-02;Anthony Bishop  Patrick Williamson;LAB;W 02:00PM-06:00PM;14
BIOL-331L-02;Biochemistry Lab;BIOL-331L-02,BCBP-331L-02,CHEM-331L-02;Anthony Bishop  Patrick Williamson;LAB;W 02:00PM-06:00PM;14
BIOL-331L-03;Biochemistry Lab;BIOL-331L-03,BCBP-331L-03,CHEM-331L-03;Anthony Bishop  Patrick Williamson;LAB;TH 01:00PM-05:00PM;10
BIOL-331L-03;Biochemistry Lab;BIOL-331L-03,BCBP-331L-03,CHEM-331L-03;Anthony Bishop  Patrick Williamson;LAB;TH 01:00PM-05:00PM;10
BIOL-380-01;Genome Biology;;Michael Hood;L/D;TTH 10:00AM-11:20AM;17
BIOL-395-01;Physical Law and Biology;;Stephen George;L/D;F 02:00PM-04:30PM;6
BIOL-410-01;Disease Biology;;Michael Hood;L/D;T 02:30PM-05:30PM;13
BIOL-434-01;Seminar in Ecology;;Ethan Temeles;L/D;TH 01:00PM-04:00PM;9
BIOL-450-01;Physiology Seminar;;Josef Trapani;L/D;W 02:30PM-05:30PM;6
BLST-111-01;Intro to Black Studies;;John Drabinski;L/D;MW 12:30PM-01:50PM;20
BLST-121-01;Intro South African Hist;HIST-283-01,BLST-121-01;Sean Redding;L/D;MW 02:00PM-03:20PM;27
BLST-123-01;Survey of African Art;ARHA-149-01,BLST-123-01;Rowland Abiodun;L/D;MW 08:30AM-09:50AM;7
BLST-200-01;Debate in Black Studies;;John Drabinski;L/D;TTH 11:30AM-12:50PM;23
BLST-221-01;Colnl +ACY- Pst Colnl Afric;HIST-181-01,BLST-221-01;Sean Redding;L/D;MWF 10:00AM-10:50AM;37
BLST-236-01;Black Sexualities;BLST-236-01,WAGS-330-01;Khary Polk;L/D;TTH 02:30PM-03:50PM;21
BLST-242-01;Black Women's Narratives;WAGS-202-01,BLST-242-01;Aneeka Henderson;L/D;TTH 11:30AM-12:50PM;16
BLST-300-01;Black Studies Seminar;;Jose Castro Alves;L/D;W 02:00PM-04:30PM;9
BLST-300-02;Black Studies Seminar;;Jeffrey Ferguson  Jose Castro Alves;L/D;W 02:00PM-04:30PM;5
BLST-300-02;Black Studies Seminar;;Jeffrey Ferguson  Jose Castro Alves;L/D;W 02:00PM-04:30PM;5
BLST-315-01;Myth/Ritual West Africa;BLST-315-01,ARHA-353-01;Rowland Abiodun;L/D;MW 12:30PM-01:50PM;3
BLST-330-01;Spike Lee's Joints;ENGL-374-01,BLST-330-01,FAMS-358-01;John Drabinski  Marisa Parham;L/D;TTH 10:00AM-11:20AM;49
BLST-330-01;Spike Lee's Joints;ENGL-374-01,BLST-330-01,FAMS-358-01;John Drabinski  Marisa Parham;L/D;TTH 10:00AM-11:20AM;49
BLST-341-01;Race +ACY- Educ Opportunity;HIST-355-01,BLST-341-01;Hilary Moss;L/D;T 01:00PM-03:30PM;15
BLST-401-01;Black Liberation Theology;BLST-401-01,HIST-468-01;Jose Castro Alves;L/D;M 02:00PM-04:30PM;10
BLST-432-01;Ellison's Invisible Man;;Jeffrey Ferguson;L/D;T 02:30PM-05:00PM;0
BLST-441-01;Virtuality/Embodiment;ENGL-456-01,BLST-441-01,FAMS-451-01;Marisa Parham;L/D;TTH 08:30AM-09:50AM;11
CHEM-151-01;Introductory Chemistry;;Patricia O'Hara  James Hebda;LEC;MWF 11:00AM-11:50AM;29
CHEM-151-01;Introductory Chemistry;;Patricia O'Hara  James Hebda;LEC;MWF 11:00AM-11:50AM;29
CHEM-151F-01;Introductory Chemistry Discuss;;Patricia O'Hara  James Hebda;DIS;M 02:00PM-02:50PM;16
CHEM-151F-01;Introductory Chemistry Discuss;;Patricia O'Hara  James Hebda;DIS;M 02:00PM-02:50PM;16
CHEM-151F-02;Introductory Chemistry Discuss;;Patricia O'Hara  James Hebda;DIS;M 03:00PM-03:50PM;10
CHEM-151F-02;Introductory Chemistry Discuss;;Patricia O'Hara  James Hebda;DIS;M 03:00PM-03:50PM;10
CHEM-151L-01;Introductory Chemistry Lab;;Patricia O'Hara  James Hebda;LAB;TH 08:00AM-11:00AM;16
CHEM-151L-01;Introductory Chemistry Lab;;Patricia O'Hara  James Hebda;LAB;TH 08:00AM-11:00AM;16
CHEM-151L-02;Introductory Chemistry Lab;;Patricia O'Hara  James Hebda;LAB;TH 02:30PM-05:30PM;10
CHEM-151L-02;Introductory Chemistry Lab;;Patricia O'Hara  James Hebda;LAB;TH 02:30PM-05:30PM;10
CHEM-161-01;Chemical Principles;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LEC;MWF 11:00AM-11:50AM;111
CHEM-161-01;Chemical Principles;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LEC;MWF 11:00AM-11:50AM;111
CHEM-161-01;Chemical Principles;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LEC;MWF 11:00AM-11:50AM;111
CHEM-161F-01;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;17
CHEM-161F-01;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;17
CHEM-161F-01;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;17
CHEM-161F-02;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;15
CHEM-161F-02;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;15
CHEM-161F-02;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 01:00PM-01:50PM;15
CHEM-161F-03;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;35
CHEM-161F-03;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;35
CHEM-161F-03;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;35
CHEM-161F-04;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;27
CHEM-161F-04;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;27
CHEM-161F-04;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 02:00PM-02:50PM;27
CHEM-161F-05;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 03:00PM-03:50PM;16
CHEM-161F-05;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 03:00PM-03:50PM;16
CHEM-161F-05;Chemical Principles Discussion;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;DIS;M 03:00PM-03:50PM;16
CHEM-161L-01;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;M 03:00PM-06:00PM;17
CHEM-161L-01;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;M 03:00PM-06:00PM;17
CHEM-161L-01;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;M 03:00PM-06:00PM;17
CHEM-161L-02;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 08:00AM-11:00AM;21
CHEM-161L-02;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 08:00AM-11:00AM;21
CHEM-161L-02;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 08:00AM-11:00AM;21
CHEM-161L-03;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 02:30PM-05:30PM;21
CHEM-161L-03;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 02:30PM-05:30PM;21
CHEM-161L-03;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;T 02:30PM-05:30PM;21
CHEM-161L-04;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;W 02:00PM-05:00PM;23
CHEM-161L-04;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;W 02:00PM-05:00PM;23
CHEM-161L-04;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;W 02:00PM-05:00PM;23
CHEM-161L-06;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;TH 02:30PM-05:30PM;21
CHEM-161L-06;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;TH 02:30PM-05:30PM;21
CHEM-161L-06;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;TH 02:30PM-05:30PM;21
CHEM-161L-07;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;F 01:00PM-04:00PM;7
CHEM-161L-07;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;F 01:00PM-04:00PM;7
CHEM-161L-07;Chemical Principles Lab;;Helen Leung  Mark Marshall  Richmond Ampiah-Bonney;LAB;F 01:00PM-04:00PM;7
CHEM-231-01;Organic Chemistry II;;Cindy Kan  Jonathan Collins  Lauren Stencel;LEC;MWF 11:00AM-11:50AM;106
CHEM-231-01;Organic Chemistry II;;Cindy Kan  Jonathan Collins  Lauren Stencel;LEC;MWF 11:00AM-11:50AM;106
CHEM-231-01;Organic Chemistry II;;Cindy Kan  Jonathan Collins  Lauren Stencel;LEC;MWF 11:00AM-11:50AM;106
CHEM-231F-01;Organic Chem II Dis;;Cindy Kan  Jonathan Collins  Lauren Stencel;DIS;M 01:00PM-01:50PM;46
CHEM-231F-01;Organic Chem II Dis;;Cindy Kan  Jonathan Collins  Lauren Stencel;DIS;M 01:00PM-01:50PM;46
CHEM-231F-01;Organic Chem II Dis;;Cindy Kan  Jonathan Collins  Lauren Stencel;DIS;M 01:00PM-01:50PM;46
CHEM-231F-02;Organic Chem II Dis;;Cindy Kan  Jonathan Collins  Lauren Stencel;DIS;M 02:00PM-02:50PM;57
CHEM-231F-02;Organic Chem II Dis;;Cindy Kan  Jonathan Collins  Lauren Stencel;DIS;M 02:00PM-02:50PM;57
